company_name,has_junkyard_license,parcel_full,has_any_licenses,has_hazmat_license
Titan Auto Recycling,Yes,044N080163,Yes,
Titan Auto Recycling,Yes,044N070161,Yes,
SD Richman and Sons,Yes,078N150014,Yes,
WM - Philadelphia Transfer Station,No,009S090010,Yes,
Nicholas Scrap Metal,Yes,101N070226,Yes,
Delaware Valley Recycling,No,047S220031,Yes,
ABM Automotive or AL's Auto Services,No,023S090332,Yes,
Gold Medal Enviomental ,No,037S090011,Yes,
McCarthy Tire Service,No,025N150065,No,
Thim Export,No,116N030022,yes,
Orthodox Auto Company,No,111N220010,Yes,
EMR Philadelphia - Delco,No,037N160051,No,
101 W VENANGO ST ,No,045N150032,No,
Philadelphia Metal and Resource Recovery,Yes,066N100089,Yes,
H&H Auto Sales and Repair Services Inc.,Yes,044N080163,Yes,
6030 W Passyunk Ave,Yes,050S210035,Yes,
Allegheny Iron and Metal,No,083N050014,Yes,
Big Head Auto Salvage ,No,047S230011,Yes,
